"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2020-09-26","89.9","-2.56","5.03","Mookie Betts",605141,527054,"hit_by_pitch","hit_by_pitch",,,,,"11","Mookie Betts hit by pitch.  ","R","R","R","LAD","LAA","B","null","null",2,2,2020,"-1.18","0.30","-2.36","3.38","null","null","null",0,1,"Bot","null","null",,,"545358",,"null",2.9973754526778977,-130.96876152717917,1.2069205331443333,-14.235888608495582,25.606415478838134,-29.11035674800719,"3.23","1.50","3","null","null","90.3","2053","6.3",631337,527054,"545358","405395","663330","664058","519303","621493","666176","665120","54.20","null","null","0.70",1,0,0,"null",4,"6","Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"SI","2020-09-26","90.2","-2.49","5.15","Mookie Betts",605141,527054,"null","ball",,,,,"11","null","R","R","R","LAD","LAA","B","null","null",1,2,2020,"-1.07","0.25","-0.59","3.47","null","null","null",0,1,"Bot","null","null",,,"545358",,"null",7.011498492995675,-131.2720806349789,1.1879518266921163,-13.843072995611916,25.984263668690925,-29.66792844141453,"3.23","1.56","null","null","null","90.5","2112","6.3",631337,527054,"545358","405395","663330","664058","519303","621493","666176","665120","54.16","null","null","null","null","null","null","null",4,"5","Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"SI","2020-09-26","90.5","-2.44","5.13","Mookie Betts",605141,527054,"null","foul",,,,,"3","null","R","R","R","LAD","LAA","S","null","null",1,2,2020,"-0.95","0.60","0.56","3.33","null","null","null",0,1,"Bot","null","null",,,"545358",,"null",9.500672456263517,-131.56885654993457,0.15086959008419465,-12.999048793266137,26.27925352120136,-25.40611933512972,"3.23","1.50","192","74.5","59","90.5","2114","6.2",631337,527054,"545358","405395","663330","664058","519303","621493","666176","665120","54.27","null","null","null","null","null","null","null",4,"4","Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"SL","2020-09-26","80.0","-2.43","5.15","Mookie Betts",605141,527054,"null","ball",,,,,"14","null","R","R","R","LAD","LAA","B","null","null",0,2,2020,"0.28","0.06","0.37","1.06","null","null","null",0,1,"Bot","null","null",,,"545358",,"null",5.634357561164629,-116.39208004851999,-2.441019303888604,1.5217172521416933,21.72378467199225,-31.368173559235156,"3.23","1.56","null","null","null","80.1","2652","6.3",631337,527054,"545358","405395","663330","664058","519303","621493","666176","665120","54.16","null","null","null","null","null","null","null",4,"3","Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"SL","2020-09-26","80.9","-2.21","5.16","Mookie Betts",605141,527054,"null","called_strike",,,,,"14","null","R","R","R","LAD","LAA","S","null","null",0,1,2020,"0.29","0.03","0.87","1.75","null","null","null",0,1,"Bot","null","null",,,"545358",,"null",6.317102074912894,-117.71755382706625,-1.0514566715559681,1.5665143793472995,21.39701231280943,-31.862738279807626,"3.23","1.58","null","null","null","81.0","2624","6.3",631337,527054,"545358","405395","663330","664058","519303","621493","666176","665120","54.24","null","null","null","null","null","null","null",4,"2","Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"SI","2020-09-26","88.3","-2.53","5.19","Mookie Betts",605141,527054,"null","called_strike",,,,,"1","null","R","R","R","LAD","LAA","S","null","null",0,0,2020,"-0.96","0.61","-0.60","2.97","null","null","null",0,1,"Bot","null","null",,,"545358",,"null",6.699200785828753,-128.4812790448708,-0.6311429365996128,-11.938115675135295,24.957003070095066,-25.47801281205294,"3.23","1.57","null","null","null","88.5","2058","6.3",631337,527054,"545358","405395","663330","664058","519303","621493","666176","665120","54.22","null","null","null","null","null","null","null",4,"1","Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"CH","2020-09-25","86.9","-2.28","6.49","Mookie Betts",605141,621142,"field_out","hit_into_play",,,,,"13","Mookie Betts grounds out, shortstop David Fletcher to first baseman Jared Walsh.  ","R","R","R","LAD","LAA","X",6,"ground_ball",1,0,2020,"-1.26","0.17","-0.22","1.35","null","null","null",1,8,"Bot","98.21","151.05",,,"545358",,"null",7.388047336774067,-126.28141430943806,-6.450500280924453,-14.943783117150103,23.417248664374938,-29.24018353152831,"3.21","1.50","11","71.8","-12","86.0","1847","5.6",631336,621142,"545358","665120","519303","543685","664058","457708","545361","621493","54.91","0.093","0.084","0.00",1,0,0,2,71,"2","Changeup",7,5,7,5,5,7,7,5,"Infield shift","Standard"
"SL","2020-09-25","83.1","-2.31","6.55","Mookie Betts",605141,621142,"null","ball",,,,,"14","null","R","R","R","LAD","LAA","B","null","null",0,0,2020,"-0.07","0.02","1.04","1.05","null","null","null",1,8,"Bot","null","null",,,"545358",,"null",7.711242053499316,-120.75450094399392,-6.161676996271629,-2.0359202917444588,20.878841237419707,-31.04718785914708,"3.15","1.50","null","null","null","82.2","1851","5.5",631336,621142,"545358","665120","519303","543685","664058","457708","545361","621493","54.96","null","null","null","null","null","null","null",71,"1","Slider",7,5,7,5,5,7,7,5,"Infield shift","Standard"
"FF","2020-09-25","92.6","-2.12","5.66","Mookie Betts",605141,542882,"field_out","hit_into_play",,,,,"6","Mookie Betts flies out to left fielder Justin Upton.  ","R","R","R","LAD","LAA","X",7,"fly_ball",2,2,2020,"-0.54","1.29","0.40","2.27","null","null","null",1,6,"Bot","51.79","77.44",,,"545358",,"null",7.543509929716771,-134.59758882674177,-5.6217938959986204,-8.176572941316923,29.554453387891822,-15.456675777883957,"3.21","1.50","336","88.7","32","92.0","2480","6.0",631336,542882,"545358","665120","650859","543685","664058","457708","545361","621493","54.47","0.050","0.058","0.00",1,0,0,3,54,"5","4-Seam Fastball",6,5,6,5,5,6,6,5,"Infield shift","Standard"
"CH","2020-09-25","86.0","-1.97","5.78","Mookie Betts",605141,542882,"null","ball",,,,,"14","null","R","R","R","LAD","LAA","B","null","null",1,2,2020,"-0.31","0.04","1.41","0.35","null","null","null",1,6,"Bot","null","null",,,"545358",,"null",8.550546873704802,-125.0377441632405,-6.747698901582959,-4.727434534690243,21.264675597073676,-30.74227899910564,"3.25","1.50","null","null","null","85.8","2086","5.9",631336,542882,"545358","665120","650859","543685","664058","457708","545361","621493","54.62","null","null","null","null","null","null","null",54,"4","Changeup",6,5,6,5,5,6,6,5,"Infield shift","Standard"
