"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-24","97.4","-0.88","5.83","Matt Olson",621566,621111,"strikeout","swinging_strike",,,,,"11","Matt Olson strikes out swinging.  ","R","L","R","LAD","OAK","S",2,"null",3,2,2020,"-0.36","1.62","-0.37","3.65","null",543760,"null",2,4,"Top","null","null",,,"669257",,"null",2.1679097625447548,-141.99909363451624,-4.134728658553862,-5.3140115162646175,29.201984043745373,-9.394246733953452,"3.38","1.65","null","null","null","97.9","2567","6.2",631335,621111,"669257","571970","621035","457759","608369","572041","641355","605141","54.27","null","null","0.00",1,0,0,"null",27,"6","4-Seam Fastball",2,0,0,2,0,2,0,2,"Infield shift","Standard"
"KC","2020-09-24","84.6","-0.72","5.78","Matt Olson",621566,621111,"null","ball",,,,,"14","null","R","L","R","LAD","OAK","B","null","null",2,2,2020,"1.05","-1.41","1.24","-1.41","null","null",543760,2,4,"Top","null","null",,,"669257",,"null",2.4545812839115664,-123.01217473473604,-7.529494571849636,10.031896386310093,27.990668095152873,-44.848984462229005,"3.47","1.70","null","null","null","84.4","3240","6.5",631335,621111,"669257","571970","621035","457759","608369","572041","641355","605141","53.99","null","null","null","null","null","null","null",27,"5","Knuckle Curve",2,0,0,2,0,2,0,2,"Infield shift","Standard"
"FF","2020-09-24","97.7","-1.02","5.66","Matt Olson",621566,621111,"null","foul",,,,,"9","null","R","L","R","LAD","OAK","S","null","null",2,1,2020,"-0.35","1.53","0.66","2.08","null","null",543760,2,4,"Top","null","null",,,"669257",,"null",5.325439280871299,-142.0659856427719,-7.6939750579667745,-5.887839005216728,30.8864316800454,-9.929056231312183,"3.38","1.65","58","104.4","0","98.0","2427","6.4",631335,621111,"669257","571970","621035","457759","608369","572041","641355","605141","54.09","null","null","null","null","null","null","null",27,"4","4-Seam Fastball",2,0,0,2,0,2,0,2,"Infield shift","Standard"
"FF","2020-09-24","96.9","-1.19","5.67","Matt Olson",621566,621111,"null","foul",,,,,"4","null","R","L","R","LAD","OAK","S","null","null",2,0,2020,"-0.56","1.64","-0.59","2.83","null","null",543760,2,4,"Top","null","null",,,"669257",,"null",2.8796749571834006,-141.01656534779707,-5.809830384208715,-8.11832828959646,31.248210002150127,-9.180267903637768,"3.38","1.65","75","90.9","84","97.3","2508","6.5",631335,621111,"669257","571970","621035","457759","608369","572041","641355","605141","54.02","null","null","null","null","null","null","null",27,"3","4-Seam Fastball",2,0,0,2,0,2,0,2,"Infield shift","Standard"
"KC","2020-09-24","82.6","-0.89","5.76","Matt Olson",621566,621111,"null","blocked_ball",,,,,"14","null","R","L","R","LAD","OAK","B","null","null",1,0,2020,"1.16","-1.20","1.95","0.16","null","null",543760,2,4,"Top","null","null",,,"669257",,"null",4.1907351147400655,-120.2421171079234,-3.86633480975076,10.333656648068478,25.446100175299918,-43.125413801749026,"3.49","1.70","null","null","null","82.6","3291","6.5",631335,621111,"669257","571970","621035","457759","608369","572041","641355","605141","54.03","null","null","null","null","null","null","null",27,"2","Knuckle Curve",2,0,0,2,0,2,0,2,"Infield shift","Standard"
"FF","2020-09-24","98.3","-1.19","5.60","Matt Olson",621566,621111,"null","blocked_ball",,,,,"13","null","R","L","R","LAD","OAK","B","null","null",0,0,2020,"-0.69","1.70","-0.13","0.77","null","null",543760,2,4,"Top","null","null",,,"669257",,"null",4.4839688114810095,-142.6208060373265,-11.532543217059837,-10.465286620748191,33.05525877948692,-6.438617618200165,"3.45","1.67","null","null","null","98.3","2731","6.5",631335,621111,"669257","571970","621035","457759","608369","572041","641355","605141","54.02","null","null","null","null","null","null","null",27,"1","4-Seam Fastball",2,0,0,2,0,2,0,2,"Infield shift","Standard"
"FF","2020-09-24","98.8","-0.86","5.68","Marcus Semien",543760,621111,"walk","ball",,,,,"14","Marcus Semien walks.  ","R","R","R","LAD","OAK","B","null","null",3,2,2020,"-0.41","1.75","0.98","1.95","null","null","null",2,4,"Top","null","null",,,"669257",,"null",5.988331309936322,-143.50571157397508,-8.804644931089586,-7.091387978370055,33.936388328769745,-6.072593519979254,"3.30","1.56","null","null","null","99.0","2658","6.6",631335,621111,"669257","571970","621035","457759","608369","572041","641355","605141","53.93","null","null","0.70",1,0,0,"null",26,"9","4-Seam Fastball",2,0,0,2,0,2,0,2,"Infield shift","Standard"
"FF","2020-09-24","97.7","-0.89","5.68","Marcus Semien",543760,621111,"null","foul",,,,,"3","null","R","R","R","LAD","OAK","S","null","null",3,2,2020,"-0.61","1.56","0.34","3.26","null","null","null",2,4,"Top","null","null",,,"669257",,"null",4.724029212338677,-142.13618782839256,-4.62258480295433,-9.370335445242473,32.61666933234749,-10.10513899680853,"3.30","1.57","152","82.7","16","97.8","2632","6.3",631335,621111,"669257","571970","621035","457759","608369","572041","641355","605141","54.16","null","null","null","null","null","null","null",26,"8","4-Seam Fastball",2,0,0,2,0,2,0,2,"Infield shift","Standard"
"FF","2020-09-24","97.6","-0.82","5.80","Marcus Semien",543760,621111,"null","foul",,,,,"8","null","R","R","R","LAD","OAK","S","null","null",3,2,2020,"-0.56","1.60","-0.26","1.75","null","null","null",2,4,"Top","null","null",,,"669257",,"null",2.8019034554916904,-141.8963629871662,-9.055748306682139,-8.27590539444102,33.7990227385268,-8.736222403236052,"3.30","1.57","25","100.4","-3","97.6","2719","6.4",631335,621111,"669257","571970","621035","457759","608369","572041","641355","605141","54.07","null","null","null","null","null","null","null",26,"7","4-Seam Fastball",2,0,0,2,0,2,0,2,"Infield shift","Standard"
"SL","2020-09-24","89.1","-0.86","5.62","Marcus Semien",543760,621111,"null","ball",,,,,"14","null","R","R","R","LAD","OAK","B","null","null",2,2,2020,"1.09","0.26","1.44","2.05","null","null","null",2,4,"Top","null","null",,,"669257",,"null",3.3786081897630003,-129.877626150636,-3.3685038119051103,11.78652131443505,25.03846152604609,-28.705407459262233,"3.34","1.58","null","null","null","89.9","2797","6.5",631335,621111,"669257","571970","621035","457759","608369","572041","641355","605141","54.02","null","null","null","null","null","null","null",26,"6","Slider",2,0,0,2,0,2,0,2,"Infield shift","Standard"
