"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2020-09-23","83.5","-1.50","6.22","Pete Alonso",624413,607192,"strikeout","swinging_strike_blocked",,,,,"14","Pete Alonso strikes out swinging.  ","R","R","R","NYM","TB","S",2,"null",1,2,2020,"0.64","-1.61","0.76","0.94","null","null","null",2,6,"Bot","null","null",,,"572287",,"null",4.0152752228235755,-121.48746569977415,-2.4461069219565035,5.327660568449853,27.17691050431231,-47.690912584257596,"3.44","1.66","null","null","null","84.3","3143","7.1",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.35","null","null","0.00",1,0,0,"null",45,"4","Curveball",2,4,2,4,4,2,2,4,"Infield shift","Strategic"
"CU","2020-09-23","84.5","-1.49","6.18","Pete Alonso",624413,607192,"null","swinging_strike",,,,,"14","null","R","R","R","NYM","TB","S","null","null",1,1,2020,"0.56","-1.46","1.74","-1.58","null","null","null",2,6,"Bot","null","null",,,"572287",,"null",6.497159650713654,-122.60963849983733,-8.803634829985656,4.171326439051426,26.621943175820707,-45.08384449352759,"3.44","1.66","null","null","null","85.3","3062","7.2",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.29","null","null","null","null","null","null","null",45,"3","Curveball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"CU","2020-09-23","81.5","-1.61","6.30","Pete Alonso",624413,607192,"null","called_strike",,,,,"3","null","R","R","R","NYM","TB","S","null","null",1,0,2020,"0.70","-1.40","0.31","3.39","null","null","null",2,6,"Bot","null","null",,,"572287",,"null",3.0065863643730792,-118.59805975627745,2.8530352217122905,5.9610748563268015,24.34494596180621,-46.10100025208913,"3.47","1.67","null","null","null","82.3","2970","7.0",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.48","null","null","null","null","null","null","null",45,"2","Curveball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"CU","2020-09-23","82.3","-1.61","6.15","Pete Alonso",624413,607192,"null","ball",,,,,"14","null","R","R","R","NYM","TB","B","null","null",0,0,2020,"0.73","-1.31","2.00","1.65","null","null","null",2,6,"Bot","null","null",,,"572287",,"null",6.888600905871252,-119.6089750604096,-1.0710661179215222,5.4844123393860835,25.26603588375044,-44.680875934779074,"3.39","1.64","null","null","null","83.3","2972","7.3",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.24","null","null","null","null","null","null","null",45,"1","Curveball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"CU","2020-09-23","83.3","-1.75","6.20","Jeff McNeil",643446,607192,"field_out","hit_into_play",,,,,"6","Jeff McNeil lines out sharply to right fielder Hunter Renfroe.  ","R","L","R","NYM","TB","X",9,"line_drive",0,2,2020,"0.61","-1.47","0.39","2.23","null","null","null",1,6,"Bot","170.64","77.24",,,"572287",,"null",3.759987240809598,-121.18269562682308,0.36576759095064704,5.114553681987876,27.49010929548096,-46.85399949515878,"3.41","1.56","308","100.2","18","83.6","2964","6.9",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.60","0.421","0.403","0.00",1,0,0,4,44,"3","Curveball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"FF","2020-09-23","99.0","-1.70","6.01","Jeff McNeil",643446,607192,"null","foul",,,,,"12","null","R","L","R","NYM","TB","S","null","null",0,1,2020,"-0.18","1.42","0.64","3.67","null","null","null",1,6,"Bot","null","null",,,"572287",,"null",6.948215489485199,-143.99839572184618,-4.368558170842379,-4.106971500383588,32.788662486593545,-11.561272101687084,"3.41","1.56","null","null","null","101.0","2346","7.4",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.12","null","null","null","null","null","null","null",44,"2","4-Seam Fastball",2,4,2,4,4,2,2,4,"Standard","Standard"
"CH","2020-09-23","90.6","-2.01","5.78","Jeff McNeil",643446,607192,"null","foul",,,,,"9","null","R","L","R","NYM","TB","S","null","null",0,0,2020,"-1.04","0.88","0.32","1.92","null","null","null",1,6,"Bot","null","null",,,"572287",,"null",8.237802412787241,-131.5785269931983,-5.686224998359005,-13.835416054946434,27.852907121498752,-20.94408009802987,"3.41","1.56","3","72.5","-37","92.6","1868","7.6",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","52.90","null","null","null","null","null","null","null",44,"1","Changeup",2,4,2,4,4,2,2,4,"Standard","Standard"
"FF","2020-09-23","98.8","-1.81","5.82","Michael Conforto",624424,607192,"strikeout","called_strike",,,,,"9","Michael Conforto called out on strikes.  ","R","L","R","NYM","TB","S",2,"null",3,2,2020,"-0.28","1.39","0.78","1.76","null","null","null",0,6,"Bot","null","null",,,"572287",,"null",7.902305584968699,-143.5262457490209,-9.119574274774578,-5.619813717081867,32.24647663052218,-10.961365779982028,"3.13","1.51","null","null","null","101.6","911","7.8",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","52.68","null","null","0.00",1,0,0,"null",43,"7","4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"FF","2020-09-23","98.1","-1.77","5.89","Michael Conforto",624424,607192,"null","foul",,,,,"2","null","R","L","R","NYM","TB","S","null","null",3,2,2020,"-0.22","1.32","0.22","3.04","null","null","null",0,6,"Bot","null","null",,,"572287",,"null",6.060631280442736,-142.80597351021763,-5.463327416543652,-4.387392907411686,31.14336056445448,-13.031052633413152,"3.07","1.46","216","71.0","29","100.9","2317","7.7",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","52.82","null","null","null","null","null","null","null",43,"6","4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
"FF","2020-09-23","98.5","-1.73","5.93","Michael Conforto",624424,607192,"null","ball",,,,,"11","null","R","L","R","NYM","TB","B","null","null",2,2,2020,"-0.31","1.42","-0.22","4.13","null","null","null",0,6,"Bot","null","null",,,"572287",,"null",4.924812627690808,-143.44959104142606,-2.8009412568322856,-5.418416265812353,31.960630030175558,-12.026955561592004,"3.13","1.59","null","null","null","100.7","2338","7.3",631218,607192,"572287","663993","664040","621563","642715","668227","622534","592669","53.16","null","null","null","null","null","null","null",43,"5","4-Seam Fastball",2,4,2,4,4,2,2,4,"Infield shift","Standard"
