"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-12","93.0","-3.19","5.20","Ji-Man Choi",596847,607391,"walk","ball",,,,,"11","Ji-Man Choi walks.  ","R","L","R","TB","BOS","B","null","null",3,2,2020,"-0.64","0.97","-1.77","4.61","null","null","null",0,4,"Bot","null","null",,,"608700",,"null",5.119295232239685,-135.29131600313858,2.2171141134316694,-9.063100279744548,31.486386927650237,-21.103389315983893,"3.24","1.49","null","null","null","94.0","1882","7.0",630959,607391,"608700","656308","624414","646240","593428","622168","598265","657077","53.49","null","null","0.70",1,0,0,"null",29,"6","4-Seam Fastball",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"FC","2020-09-12","89.9","-3.18","5.37","Ji-Man Choi",596847,607391,"null","called_strike",,,,,"4","null","R","L","R","TB","BOS","S","null","null",3,1,2020,"0.23","0.57","-0.55","2.63","null","null","null",0,4,"Bot","null","null",,,"608700",,"null",6.107311234864238,-130.87054032281677,-2.0372407664384604,1.3391083712284273,28.050687527723777,-25.39065589596058,"3.26","1.45","null","null","null","91.0","2172","7.0",630959,607391,"608700","656308","624414","646240","593428","622168","598265","657077","53.54","null","null","null","null","null","null","null",29,"5","Cutter",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"SI","2020-09-12","92.7","-3.26","5.17","Ji-Man Choi",596847,607391,"null","ball",,,,,"11","null","R","L","R","TB","BOS","B","null","null",2,1,2020,"-1.45","0.28","-0.95","3.15","null","null","null",0,4,"Bot","null","null",,,"608700",,"null",9.182569016406305,-134.69916016689174,0.10787812901296046,-19.65717532455783,30.561004277984836,-29.088811543282286,"3.19","1.47","null","null","null","93.5","1745","7.0",630959,607391,"608700","656308","624414","646240","593428","622168","598265","657077","53.55","null","null","null","null","null","null","null",29,"4","Sinker",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"FC","2020-09-12","88.3","-3.06","5.44","Ji-Man Choi",596847,607391,"null","foul",,,,,"2","null","R","L","R","TB","BOS","S","null","null",2,0,2020,"0.27","0.64","-0.02","2.88","null","null","null",0,4,"Bot","null","null",,,"608700",,"null",6.914667856093202,-128.49322828145657,-1.4959246962410138,1.5403947065649821,26.37539724695996,-24.971702038444768,"3.29","1.54","195","80.0","61","89.5","2179","7.0",630959,607391,"608700","656308","624414","646240","593428","622168","598265","657077","53.52","null","null","null","null","null","null","null",29,"3","Cutter",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"SI","2020-09-12","91.2","-3.29","5.19","Ji-Man Choi",596847,607391,"null","ball",,,,,"11","null","R","L","R","TB","BOS","B","null","null",1,0,2020,"-1.13","0.17","-1.19","2.51","null","null","null",0,4,"Bot","null","null",,,"608700",,"null",7.802278249528973,-132.57546348467463,-1.1963260273302327,-14.985744093494015,28.738257228045207,-30.124929920032372,"3.19","1.44","null","null","null","92.1","1607","6.9",630959,607391,"608700","656308","624414","646240","593428","622168","598265","657077","53.56","null","null","null","null","null","null","null",29,"2","Sinker",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"SI","2020-09-12","90.5","-3.23","5.27","Ji-Man Choi",596847,607391,"null","ball",,,,,"11","null","R","L","R","TB","BOS","B","null","null",0,0,2020,"-1.58","0.51","-0.92","3.47","null","null","null",0,4,"Bot","null","null",,,"608700",,"null",9.236205254285904,-131.54937539219068,0.40432630898496436,-20.305991230676298,27.594783068147127,-26.586340132404604,"3.24","1.49","null","null","null","91.5","1749","6.9",630959,607391,"608700","656308","624414","646240","593428","622168","598265","657077","53.59","null","null","null","null","null","null","null",29,"1","Sinker",1,2,1,2,2,1,1,2,"Infield shift","Standard"
"FF","2020-09-12","99.0","-2.18","5.50","Ji-Man Choi",596847,543135,"double","hit_into_play_no_out",,,,,"7","Ji-Man Choi doubles (13) on a line drive to left fielder Yairo Munoz.  ","R","L","R","TB","BOS","X",7,"line_drive",0,0,2020,"-0.95","1.22","-0.35","1.64","null","null","null",2,1,"Bot","42.86","107.59",,,"608700",,"null",7.237173649770368,-143.82104054263309,-7.946607212482249,-14.876891186316001,35.27869557750445,-13.53311549640056,"3.29","1.54","344","96.8","29","99.4","2154","6.7",630959,543135,"608700","656308","624414","646240","593428","622168","598265","657077","53.79","0.443","0.709","1.25",1,1,1,5,8,"1","4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Standard"
"FF","2020-09-11","98.1","-1.83","5.47","Ji-Man Choi",596847,476594,"double","hit_into_play_score",,,,,"8","Ji-Man Choi doubles (12) on a sharp line drive to center fielder Jackie Bradley Jr.  Joey Wendle scores.    Brandon Lowe to 3rd.  ","R","L","R","TB","BOS","X",8,"line_drive",2,1,2020,"-1.14","1.14","0.00","1.88",621563,"null",664040,1,8,"Bot","147.40","90.05",,,"543877",,"null",7.671696401410176,-142.47996577489252,-6.893140161289084,-17.38495190322767,34.32139165165501,-15.166284197770166,"3.28","1.54","148","103.3","8","98.7","2126","6.8",630958,476594,"543877","666915","624414","660620","624407","656308","598265","657077","53.67","0.714","0.643","1.25",1,1,1,4,71,"4","4-Seam Fastball",9,0,9,0,0,9,9,0,"Standard","Standard"
"FF","2020-09-11","97.2","-1.76","5.52","Ji-Man Choi",596847,476594,"null","foul",,,,,"4","null","R","L","R","TB","BOS","S","null","null",2,0,2020,"-0.92","1.13","-0.60","2.35",621563,"null",664040,1,8,"Bot","null","null",,,"543877",,"null",5.276623561796324,-141.34443499304916,-5.57257163292763,-13.569670536885715,34.72009236998693,-15.940401554855805,"3.28","1.54","312","90.4","33","97.7","2164","6.8",630958,476594,"543877","666915","624414","660620","624407","656308","598265","657077","53.71","null","null","null","null","null","null","null",71,"3","4-Seam Fastball",9,0,9,0,0,9,9,0,"Standard","Standard"
"CH","2020-09-11","82.6","-1.91","5.33","Ji-Man Choi",596847,476594,"null","ball",,,,,"14","null","R","L","R","TB","BOS","B","null","null",1,0,2020,"-1.51","0.25","0.13","1.15",621563,"null",664040,1,8,"Bot","null","null",,,"543877",,"null",7.631848130867657,-120.0262044764226,-3.4551280258367028,-16.102137311691465,25.01446619747871,-29.27062114513777,"3.25","1.55","null","null","null","82.8","1522","6.7",630958,476594,"543877","666915","624414","660620","624407","656308","598265","657077","53.80","null","null","null","null","null","null","null",71,"2","Changeup",9,0,9,0,0,9,9,0,"Standard","Standard"
